"filename", "language", "JavaScript", "CSS", "comment", "blank", "total"
"f:\Work\BSE (Class 2021)\SEMESTER # 7\Final Year Project\travelholic-admin\src\App.js", "JavaScript", 11, 0, 0, 3, 14
"f:\Work\BSE (Class 2021)\SEMESTER # 7\Final Year Project\travelholic-admin\src\App.test.js", "JavaScript", 7, 0, 0, 2, 9
"f:\Work\BSE (Class 2021)\SEMESTER # 7\Final Year Project\travelholic-admin\src\components\admin-panel\AdminPanel.css", "CSS", 0, 4, 0, 0, 4
"f:\Work\BSE (Class 2021)\SEMESTER # 7\Final Year Project\travelholic-admin\src\components\admin-panel\AdminPanel.js", "JavaScript", 44, 0, 1, 3, 48
"f:\Work\BSE (Class 2021)\SEMESTER # 7\Final Year Project\travelholic-admin\src\components\axios.js", "JavaScript", 5, 0, 0, 0, 5
"f:\Work\BSE (Class 2021)\SEMESTER # 7\Final Year Project\travelholic-admin\src\components\bookings\BookingTable.js", "JavaScript", 32, 0, 0, 4, 36
"f:\Work\BSE (Class 2021)\SEMESTER # 7\Final Year Project\travelholic-admin\src\components\bookings\ViewBookings.js", "JavaScript", 46, 0, 0, 9, 55
"f:\Work\BSE (Class 2021)\SEMESTER # 7\Final Year Project\travelholic-admin\src\components\dashboard\Dashboard.js", "JavaScript", 12, 0, 0, 2, 14
"f:\Work\BSE (Class 2021)\SEMESTER # 7\Final Year Project\travelholic-admin\src\components\destinations\AddDestination.js", "JavaScript", 70, 0, 2, 10, 82
"f:\Work\BSE (Class 2021)\SEMESTER # 7\Final Year Project\travelholic-admin\src\components\destinations\DestinationTable.js", "JavaScript", 36, 0, 0, 4, 40
"f:\Work\BSE (Class 2021)\SEMESTER # 7\Final Year Project\travelholic-admin\src\components\destinations\UpdateDestination.js", "JavaScript", 0, 0, 0, 1, 1
"f:\Work\BSE (Class 2021)\SEMESTER # 7\Final Year Project\travelholic-admin\src\components\destinations\ViewDestinations.js", "JavaScript", 50, 0, 0, 9, 59
"f:\Work\BSE (Class 2021)\SEMESTER # 7\Final Year Project\travelholic-admin\src\components\hotels\HotelTable.js", "JavaScript", 31, 0, 0, 4, 35
"f:\Work\BSE (Class 2021)\SEMESTER # 7\Final Year Project\travelholic-admin\src\components\hotels\ViewHotels.js", "JavaScript", 45, 0, 0, 9, 54
"f:\Work\BSE (Class 2021)\SEMESTER # 7\Final Year Project\travelholic-admin\src\components\navbar\Navbar.css", "CSS", 0, 10, 0, 1, 11
"f:\Work\BSE (Class 2021)\SEMESTER # 7\Final Year Project\travelholic-admin\src\components\navbar\Navbar.js", "JavaScript", 19, 0, 0, 4, 23
"f:\Work\BSE (Class 2021)\SEMESTER # 7\Final Year Project\travelholic-admin\src\components\reviews\ReviewTable.js", "JavaScript", 30, 0, 0, 4, 34
"f:\Work\BSE (Class 2021)\SEMESTER # 7\Final Year Project\travelholic-admin\src\components\reviews\ViewTripReviews.js", "JavaScript", 44, 0, 0, 9, 53
"f:\Work\BSE (Class 2021)\SEMESTER # 7\Final Year Project\travelholic-admin\src\components\sidemenu\Sidemenu.css", "CSS", 0, 286, 2, 8, 296
"f:\Work\BSE (Class 2021)\SEMESTER # 7\Final Year Project\travelholic-admin\src\components\sidemenu\Sidemenu.js", "JavaScript", 79, 0, 0, 14, 93
"f:\Work\BSE (Class 2021)\SEMESTER # 7\Final Year Project\travelholic-admin\src\components\transports\AddTransport.js", "JavaScript", 46, 0, 2, 10, 58
"f:\Work\BSE (Class 2021)\SEMESTER # 7\Final Year Project\travelholic-admin\src\components\transports\TransportTable.js", "JavaScript", 31, 0, 0, 5, 36
"f:\Work\BSE (Class 2021)\SEMESTER # 7\Final Year Project\travelholic-admin\src\components\transports\ViewTransports.js", "JavaScript", 45, 0, 0, 9, 54
"f:\Work\BSE (Class 2021)\SEMESTER # 7\Final Year Project\travelholic-admin\src\index.css", "CSS", 0, 0, 0, 1, 1
"f:\Work\BSE (Class 2021)\SEMESTER # 7\Final Year Project\travelholic-admin\src\index.js", "JavaScript", 12, 0, 0, 4, 16
"f:\Work\BSE (Class 2021)\SEMESTER # 7\Final Year Project\travelholic-admin\src\reportWebVitals.js", "JavaScript", 12, 0, 0, 2, 14
"f:\Work\BSE (Class 2021)\SEMESTER # 7\Final Year Project\travelholic-admin\src\setupTests.js", "JavaScript", 1, 0, 4, 1, 6
"Total", "-", 708, 300, 11, 132, 1151